Name,None None
Tax Year,2025
txn_id,currency,created_date,side,amount,thb_exec_price,thb_exec_val,fee,thb_net
SPECSELL0017864622,SPEC,2025/11/16 07:59,Buy,496.31336406,6.51,3231.0,8.08,3239.08
SPECSELL0017843222,SPEC,2025/11/11 22:20,Buy,395.26627448,6.33,2502.04,6.26,2508.3
SPECSELL0017867921,SPEC,2025/11/16 20:00,Buy,465.75342466,6.57,3060.0,7.66,3067.66
SPECBUY0022959358,SPEC,2025/11/17 19:55,Sell,115.11695906,6.84,785.42,1.97,787.39
SPECSELL0017934603,SPEC,2025/11/30 09:59,Buy,749.00406004,5.8,4344.22,10.87,4355.09
SPECSELL0017876229,SPEC,2025/11/17 22:23,Buy,1842.31366459,6.44,11864.5,29.74,11894.24
SPECBUY0022959364,SPEC,2025/11/17 19:55,Sell,35.08771929,6.84,239.39,0.6,239.99
SPECSELL0017934629,SPEC,2025/11/30 12:14,Buy,1753.04802259,5.8,10167.68,25.42,10193.1
SPECSELL0017840490,SPEC,2025/11/10 16:04,Buy,835.69288956,6.61,5523.93,13.85,5537.78
SPECSELL0017840493,SPEC,2025/11/10 16:04,Buy,1039.3132716,6.48,6734.75,16.88,6751.63
SPECBUY0022942891,SPEC,2025/11/10 16:35,Sell,471.01865136,6.97,3274.78,8.21,3282.99
SPECSELL0017934817,SPEC,2025/11/30 20:51,Buy,7.0,5.8,40.6,0.11,40.71
SPECBUY0022942904,SPEC,2025/11/10 16:51,Sell,445.0502152,6.97,3094.23,7.76,3101.99
SPECSELL0017841466,SPEC,2025/11/11 02:49,Buy,1137.41781874,6.51,7404.59,18.56,7423.15
SPECSELL0017867929,SPEC,2025/11/16 20:01,Buy,780.51643192,6.57,5127.99,12.82,5140.81
SPECBUY0022959363,SPEC,2025/11/17 19:55,Sell,60.1491228,6.84,410.38,1.03,411.41
SPECBUY0022959354,SPEC,2025/11/17 19:55,Sell,60.1491228,6.84,410.38,1.03,411.41
SPECSELL0017919788,SPEC,2025/11/25 17:26,Buy,1754.2533557,5.96,10455.35,26.21,10481.56
SPECSELL0017864610,SPEC,2025/11/16 07:58,Buy,480.03072197,6.51,3125.0,7.82,3132.82
SPECBUY0022959359,SPEC,2025/11/17 19:55,Sell,60.1491228,6.84,410.38,1.03,411.41
SPECSELL0017843750,SPEC,2025/11/11 23:55,Buy,22.0572381,6.33,139.62,0.35,139.97
SPECSELL0017840932,SPEC,2025/11/11 00:07,Buy,355.21128488,6.51,2312.43,5.79,2318.22
SPECBUY0022994026,SPEC,2025/11/30 07:28,Sell,3416.74204355,5.97,20346.94,51.0,20397.94
SPECBUY0022959355,SPEC,2025/11/17 19:55,Sell,60.1491228,6.84,410.38,1.03,411.41
SPECBUY0022942906,SPEC,2025/11/10 16:55,Sell,2.86226685,6.97,19.89,0.05,19.94
SPECBUY0022938390,SPEC,2025/11/09 21:52,Sell,950.6413164,7.12,6751.63,16.93,6768.56
SPECSELL0017871977,SPEC,2025/11/17 06:38,Buy,1100.61615275,6.3,6933.88,17.34,6951.22
SPECBUY0022959353,SPEC,2025/11/17 19:55,Sell,60.1491228,6.84,410.38,1.03,411.41
SPECBUY0023026471,SPEC,2025/12/22 04:40,Sell,45.32085561,3.74,169.06,0.43,169.49
SPECBUY0023026511,SPEC,2025/12/22 04:41,Sell,45.45187165,3.74,169.55,0.43,169.98
SPECSELL0018032477,SPEC,2025/12/29 11:57,Buy,843.74338653,3.66,3088.1,7.73,3095.83
SPECBUY0023026503,SPEC,2025/12/22 04:41,Sell,45.19251336,3.74,168.58,0.43,169.01
SPECSELL0018032851,SPEC,2025/12/29 13:10,Buy,9.02121679,3.66,33.02,0.09,33.11
SPECSELL0018032824,SPEC,2025/12/29 13:02,Buy,884.69945355,3.66,3238.0,8.1,3246.1
SPECSELL0017935026,SPEC,2025/12/01 05:52,Buy,67.43448275,5.8,391.12,0.99,392.11
SPECBUY0023026492,SPEC,2025/12/22 04:41,Sell,44.11764705,3.74,164.57,0.42,164.99
