Name,None None
Tax Year,2025
txn_id,currency,created_date,side,amount,thb_exec_price,thb_exec_val,fee,thb_net
SCRTSELL0054753571,SCRT,2025/05/24 20:57,Buy,4129.2,6.75,27872.1,69.86,27941.96
SCRTSELL0059443276,SCRT,2025/11/08 20:23,Buy,2322.0,7.5,17415.0,43.54,17458.54
SCRTBUY0066467177,SCRT,2025/11/07 13:11,Sell,507.62076502,9.15,4633.1,11.62,4644.72
SCRTBUY0066467145,SCRT,2025/11/07 13:10,Sell,271.01420765,9.15,2473.57,6.2,2479.77
SCRTBUY0066467175,SCRT,2025/11/07 13:11,Sell,124.29836065,9.15,1134.47,2.85,1137.32
SCRTBUY0066467163,SCRT,2025/11/07 13:10,Sell,9.56284153,9.15,87.27,0.22,87.49
SCRTBUY0066467178,SCRT,2025/11/07 13:11,Sell,3160.35851575,9.15,28844.98,72.3,28917.28
SCRTBUY0066467173,SCRT,2025/11/07 13:11,Sell,210.9136612,9.15,1925.02,4.83,1929.85
SCRTBUY0066467168,SCRT,2025/11/07 13:10,Sell,5461.76174863,9.15,49850.17,124.94,49975.11
SCRTSELL0054753562,SCRT,2025/05/24 20:56,Buy,304.13208985,6.75,2052.89,5.14,2058.03
SCRTSELL0059443481,SCRT,2025/11/08 20:25,Buy,689.004,7.5,5167.53,12.96,5180.49
SCRTBUY0066467165,SCRT,2025/11/07 13:10,Sell,96.0546448,9.15,876.69,2.2,878.89
SCRTSELL0059443467,SCRT,2025/11/08 20:25,Buy,912.0,7.5,6840.0,17.1,6857.1
SCRTSELL0059443472,SCRT,2025/11/08 20:25,Buy,1048.0,7.5,7860.0,19.65,7879.65
SCRTBUY0066950793,SCRT,2025/11/29 07:26,Buy,894.60775862,4.64,4150.98,10.41,4161.39
SCRTSELL0059443463,SCRT,2025/11/08 20:24,Buy,913.0,7.5,6847.5,17.12,6864.62
SCRTSELL0059443470,SCRT,2025/11/08 20:25,Buy,1048.0,7.5,7860.0,19.65,7879.65
SCRTSELL0059443478,SCRT,2025/11/08 20:25,Buy,911.0,7.5,6832.5,17.09,6849.59
SCRTBUY0066950791,SCRT,2025/11/29 07:26,Buy,1685.1401188,4.64,7819.05,19.55,7838.6
SCRTSELL0059443447,SCRT,2025/11/08 20:24,Buy,913.0,7.5,6847.5,17.12,6864.62
SCRTSELL0056773232,SCRT,2025/08/07 10:12,Buy,5444.646098,5.51,30000.0,0.0,30000.0
SCRTBUY0066467146,SCRT,2025/11/07 13:10,Sell,36.39344262,9.15,332.15,0.84,332.99
SCRTSELL0059443462,SCRT,2025/11/08 20:24,Buy,913.0,7.5,6847.5,17.12,6864.62
SCRTSELL0059443277,SCRT,2025/11/08 20:23,Buy,2322.0,7.5,17415.0,43.54,17458.54
