Name,None None
Tax Year,2025
txn_id,currency,created_date,side,amount,thb_exec_price,thb_exec_val,fee,thb_net
THBDP0025925031,THB,2025/11/04 13:08,Deposit,10000.0,0.0,0.0,0.0,0.0
THBDP0025544803,THB,2025/10/05 23:11,Deposit,10000.0,0.0,0.0,0.0,0.0
THBDP0023813384,THB,2025/03/05 18:03,Deposit,48000.0,0.0,0.0,0.0,0.0
THBWD0017552165,THB,2025/11/22 16:30,Withdraw,860.0,0.0,0.0,0.0,0.0
THBDP0024680774,THB,2025/07/04 08:53,Deposit,1000.0,0.0,0.0,0.0,0.0
THBDP0025504354,THB,2025/10/01 20:09,Deposit,14000.0,0.0,0.0,0.0,0.0
THBDP0024382084,THB,2025/05/24 19:15,Deposit,30000.0,0.0,0.0,0.0,0.0
THBDP0026228155,THB,2025/11/29 07:25,Deposit,12000.0,0.0,0.0,0.0,0.0
THBDP0024981076,THB,2025/08/07 05:46,Deposit,30000.0,0.0,0.0,0.0,0.0
THBWD0017495767,THB,2025/11/14 20:53,Withdraw,4020.0,0.0,0.0,0.0,0.0
THBDP0026510454,THB,2025/12/29 11:43,Deposit,10000.0,0.0,0.0,0.0,0.0
THBDP0025229631,THB,2025/09/01 20:41,Deposit,40000.0,0.0,0.0,0.0,0.0
THBDP0026216566,THB,2025/11/28 06:10,Deposit,10000.0,0.0,0.0,0.0,0.0
