Name,None None
Tax Year,2025
txn_id,currency,created_date,side,amount,thb_exec_price,thb_exec_val,fee,thb_net
BNBBUY0210119607,BNB,2025/07/12 14:01,Sell,0.04598214,22400.0,1027.41,2.58,1029.99
BNBBUY0210119645,BNB,2025/07/12 14:02,Sell,0.00037882,22400.0,8.45,0.03,8.48
BNBBUY0209356925,BNB,2025/07/04 08:54,Buy,0.04194366,21516.0,902.46,2.27,904.73
BNBBUY0209356924,BNB,2025/07/04 08:54,Buy,0.0044173,21512.41,95.03,0.24,95.27
