Name,None None
Tax Year,2024
txn_id,currency,created_date,side,amount,thb_exec_price,thb_exec_val,fee,thb_net
SCRTBUY0002351800,SCRT,2024/09/21 07:22,Buy,486.14700584,7.32,3558.6,8.9,3567.5
SCRTSELL0002342913,SCRT,2024/08/19 23:23,Buy,58.63323353,6.68,391.67,0.99,392.66
SCRTBUY0002361537,SCRT,2024/10/22 22:13,Sell,303.92457737,7.69,2331.32,5.85,2337.17
SCRTSELL0002354858,SCRT,2024/10/07 17:02,Buy,1235.120692,6.6,8151.8,20.38,8172.18
SCRTSELL0002200598,SCRT,2024/02/11 19:42,Buy,686.44676258,13.9,9541.61,23.92,9565.53
SCRTBUY0002190418,SCRT,2024/01/20 12:53,Sell,1294.62562277,14.05,18144.0,45.48,18189.48
SCRTSELL0002195949,SCRT,2024/02/04 18:58,Buy,401.12929325,13.05,5234.74,13.09,5247.83
SCRTSELL0002195945,SCRT,2024/02/04 18:55,Buy,400.61302682,13.05,5228.0,13.08,5241.08
SCRTBUY0002198677,SCRT,2024/02/10 11:39,Sell,4540.43124501,13.67,61912.52,155.17,62067.69
SCRTBUY0002380143,SCRT,2024/11/17 18:40,Sell,505.2,10.0,5039.37,12.63,5052.0
SCRTBUY0002344984,SCRT,2024/08/26 06:31,Sell,1318.00131926,8.08,10622.82,26.63,10649.45
SCRTSELL0002195939,SCRT,2024/02/04 18:55,Buy,397.54789272,13.05,5188.0,12.97,5200.97
