Name,None None
Tax Year,2025
txn_id,currency,created_date,side,amount,thb_exec_price,thb_exec_val,fee,thb_net
POWSELL0037824214,POW,2025/07/12 14:09,Buy,176.02555366,5.87,1033.27,2.59,1035.86
POWSELL0038596793,POW,2025/09/02 03:43,Buy,1579.84230896,5.0,7899.21,0.0,7899.21
POWSELL0038596794,POW,2025/09/02 03:43,Buy,4033.73468097,5.0,20168.67,45.18,20213.85
POWBUY0046939897,POW,2025/10/01 20:11,Buy,1554.67036378,4.7,7306.95,18.27,7325.22
POWSELL0038829054,POW,2025/10/01 20:11,Buy,1416.61276595,4.7,6658.08,16.69,6674.77
POWSELL0038857546,POW,2025/10/05 23:15,Buy,50.0,4.81,240.5,0.61,241.11
POWSELL0035000319,POW,2025/03/05 18:05,Buy,4704.04677419,6.2,29165.09,73.1,29238.19
POWBUY0040242728,POW,2025/03/05 18:05,Buy,2996.13,6.16,18456.16,46.15,18502.31
POWSELL0038596795,POW,2025/09/02 03:44,Buy,2371.44,5.0,11857.2,29.72,11886.92
POWSELL0038857551,POW,2025/10/05 23:16,Buy,2023.8024948,4.81,9734.49,24.4,9758.89
POWBUY0040242727,POW,2025/03/05 18:05,Buy,42.01848936,6.16,258.83,0.65,259.48
