Name,None None
Tax Year,2024
txn_id,currency,created_date,side,amount,thb_exec_price,thb_exec_val,fee,thb_net
POWBUY0002941627,POW,2024/02/11 19:30,Sell,796.72523961,12.52,9950.05,24.94,9974.99
POWSELL0002936859,POW,2024/02/04 17:50,Sell,605.25304592,10.67,6441.89,16.15,6458.04
POWSELL0002936860,POW,2024/02/04 17:50,Sell,3520.0,10.67,37464.5,93.9,37558.4
POWBUY0003108902,POW,2024/07/11 13:37,Sell,14.0646976,7.11,99.74,0.25,99.99
POWBUY0003108920,POW,2024/07/11 18:59,Sell,1362.0787623,7.11,9660.15,24.22,9684.37
POWSELL0003109163,POW,2024/07/14 09:28,Buy,2.43712274,7.09,17.28,0.05,17.33
POWBUY0002933627,POW,2024/01/28 22:47,Sell,8744.0,11.3,98560.18,247.02,98807.2
POWSELL0002933622,POW,2024/01/28 22:43,Sell,1906.38053097,11.3,21488.23,53.86,21542.09
POWSELL0002931783,POW,2024/01/24 19:44,Buy,100.0,11.2,1120.0,2.8,1122.8
POWBUY0002931781,POW,2024/01/24 19:42,Buy,1362.0,11.2,15254.4,38.14,15292.54
POWSELL0003109234,POW,2024/07/14 19:55,Buy,1232.83638928,7.09,8740.81,21.91,8762.72
POWBUY0002941614,POW,2024/02/11 19:30,Sell,1725.54792332,12.52,21549.84,54.01,21603.85
POWSELL0002946185,POW,2024/02/11 21:13,Buy,3670.23880842,14.15,51933.88,129.84,52063.72
POWSELL0002946183,POW,2024/02/11 21:13,Buy,200.29593441,14.15,2834.19,7.09,2841.28
POWBUY0002936864,POW,2024/02/04 17:50,Sell,699.99906103,10.65,7436.34,18.64,7454.98
POWSELL0003151004,POW,2024/11/17 19:11,Buy,519.45378543,8.4,4363.41,10.91,4374.32
POWSELL0003151007,POW,2024/11/17 19:12,Buy,976.69166666,8.4,8204.21,20.57,8224.78
POWBUY0003108901,POW,2024/07/11 13:09,Sell,111.5485232,7.11,791.11,1.99,793.1
POWBUY0002933628,POW,2024/01/28 22:47,Sell,3237.49586893,11.3,36492.24,91.46,36583.7
POWBUY0003121303,POW,2024/08/12 08:35,Sell,3943.58,7.0,27536.04,69.02,27605.06
POWSELL0003138099,POW,2024/10/12 20:33,Buy,428.61609498,7.48,3206.05,8.02,3214.07
POWBUY0003127138,POW,2024/09/20 10:05,Sell,77.0,6.83,524.59,1.32,525.91
POWSELL0003138100,POW,2024/10/12 20:56,Buy,1991.4117647,7.48,14895.76,37.24,14933.0
POWSELL0003138106,POW,2024/10/12 22:02,Buy,813.87700534,7.48,6087.8,15.26,6103.06
POWBUY0003105014,POW,2024/06/25 16:39,Sell,4102.17774936,7.82,31998.82,80.2,32079.02
POWBUY0003121307,POW,2024/08/12 08:39,Sell,3816.5526268,7.0,26649.07,66.79,26715.86
POWSELL0003137022,POW,2024/10/09 22:40,Sell,1322.0,7.54,9942.96,24.92,9967.88
POWSELL0003118758,POW,2024/08/05 12:10,Buy,359.1,5.7,2046.87,5.12,2051.99
POWSELL0003118756,POW,2024/08/05 12:10,Buy,359.1,5.7,2046.87,5.12,2051.99
POWSELL0003138101,POW,2024/10/12 21:18,Buy,100.0,7.48,748.0,1.87,749.87
POWBUY0003105016,POW,2024/06/25 16:39,Sell,2632.70022814,7.82,20536.24,51.47,20587.71
POWSELL0003109233,POW,2024/07/14 19:55,Buy,4010.82409462,7.09,28436.74,71.1,28507.84
POWSELL0002931790,POW,2024/01/24 19:56,Buy,2006.87232142,11.2,22476.97,56.34,22533.31
POWBUY0003108927,POW,2024/07/11 19:30,Sell,3914.90717299,7.11,27765.39,69.59,27834.98
POWSELL0003109232,POW,2024/07/14 19:54,Buy,4166.23776671,7.09,29538.63,73.85,29612.48
POWSELL0003206832,POW,2024/12/20 16:06,Buy,2.23227824,7.5,16.74,0.05,16.79
POWSELL0002939910,POW,2024/02/10 21:53,Buy,291.79301987,10.86,3168.87,7.93,3176.8
POWSELL0003121495,POW,2024/08/12 20:48,Buy,5916.23156939,6.95,41117.81,102.8,41220.61
POWBUY0002931780,POW,2024/01/24 19:42,Buy,2637.0,11.2,29534.4,73.84,29608.24
